delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,middle_gamma,classification
2184311,263830,15741,24335,47344,19451,22437,181204,0
75277,2996,1161,1856,1161,1710,745,10434,0
696550,287496,55956,23585,12272,9509,3058,378749,0
270575,289152,15299,11993,15299,12415,19409,7403,0
793860,37882,27608,36922,27608,10086,11563,7141,1
206949,62340,23079,14243,23079,5660,1936,156653,0
359410,241623,56807,22450,56807,86261,98603,64196,0
296663,119551,8478,17283,8478,15949,4114,635636,1
58617,13732,76,1998,76,2563,2411,28077,0
1789125,168585,14291,41932,14291,13170,10776,3051,0
310485,775857,3469,2936,3835,105446,4024,825331,0
317778,54981,17090,13347,17090,3498,4226,638452,1
103633,47345,1838,2017,1838,1381,1267,163533,1
720188,384107,319216,5793,15303,71240,4840,835600,0
469958,34870,6733,6399,29986,13551,3187,2838,0
18614,11114,2903,1801,2903,1252,1244,1162,1
764906,180762,36579,33419,36579,11126,7212,2012,0
1404008,87623,10644,43668,10644,14838,5046,315380,0
15036,13455,10788,7339,10788,18414,12276,14872,0
755250,1429987,261318,12641,14917,259325,6881,1682637,0
58627,11681,22511,42386,22511,14295,4657,3166,0
76424,18223,14253,12322,14253,3869,2573,2847,0
298493,103944,1273,21809,1273,4273,13073,4204,1
374653,4631,1347,1072,1817,869,319,44440,0
393212,13359,104667,39159,104667,39303,15006,108945,0
203782,143550,23673,9131,23673,3032,5121,154083,1
507258,94866,60619,5599,60619,12916,34386,31360,1
159701,15912,1898,1533,1898,748,442,554,0
97177,56772,12656,34034,12656,7199,3759,660131,1
776936,66347,10669,10708,10669,5099,1648,912,0
48112,264715,4311,87848,1338,54126,616,310870,0
1493712,120237,44333,59341,44333,19014,19332,540352,1
1560480,353102,39107,38584,39107,24071,2692,278469,0
63628,5331,3740,376,3740,854,116,28087,0
815449,479026,53939,46904,117993,132079,137226,60783,0
1256276,13870,27004,18514,27004,9106,2150,133796,1
909365,16217,7577,10073,3309,7375,279,98271,0
342664,40346,55310,5083,55310,4795,1213,231854,1
22384,10696,25483,6783,5110,4096,3949,336153,0
1433521,233922,1110,49929,24330,47400,4034,483555,0
20682,24191,6294,49599,6294,2542,2840,1644,0
1410485,78757,87364,17489,29763,13179,3689,507959,0
12834,6350,5316,2556,10778,6588,2968,253462,0
8458,10574,13824,3254,13824,3563,1997,36335,1
277382,254407,7530,17709,7530,5291,5143,651645,1
254922,57089,5298,6116,5298,1958,731,58792,1
1032345,126063,24837,13738,24837,6314,2269,180171,1
